home_team,away_team,tournament,country,neutral,Month
164,31.0,62,164.0,0,8
169,308.0,83,169.0,0,7
272,122.0,62,272.0,0,8
131,275.0,89,131.0,0,7
284,190.0,74,284.0,0,11
171,93.0,9,171.0,0,9
261,163.0,116,261.0,0,9
41,219.0,59,181.0,1,5
204,249.0,21,,0,1
273,37.0,62,273.0,0,5
142,61.0,62,142.0,0,4
139,129.0,36,139.0,0,3
271,283.0,62,271.0,0,1
172,204.0,62,172.0,0,2
74,108.0,62,74.0,0,9
142,151.0,14,284.0,1,11
147,283.0,62,147.0,0,4
1,185.0,60,281.0,1,9
308,195.0,122,308.0,0,10
302,59.0,62,302.0,0,5
118,85.0,118,67.0,1,2
37,124.0,38,300.0,1,5
266,313.0,83,169.0,1,10
19,160.0,62,298.0,1,1
36,167.0,62,36.0,0,2
300,219.0,62,300.0,0,4
21,26.0,62,21.0,0,2
314,136.0,70,249.0,1,6
201,7.0,116,201.0,0,8
17,91.0,116,17.0,0,2
2,26.0,116,2.0,0,10
208,247.0,65,225.0,1,11
214,70.0,64,214.0,0,6
80,9.0,60,80.0,0,6
204,27.0,60,204.0,0,10
201,26.0,116,201.0,0,2
141,85.0,60,141.0,0,4
85,118.0,62,85.0,0,2
258,151.0,60,258.0,0,1
140,252.0,62,99.0,1,2
83,221.0,62,47.0,1,9
4,140.0,62,103.0,1,10
132,190.0,5,132.0,0,11
298,151.0,65,225.0,1,10
188,252.0,62,188.0,0,8
19,151.0,62,19.0,0,7
46,75.0,62,46.0,0,0
232,140.0,62,232.0,0,2
67,61.0,62,67.0,0,2
46,198.0,62,84.0,1,8
129,249.0,62,129.0,0,5
42,291.0,8,46.0,1,0
249,309.0,21,249.0,0,2
8,322.0,9,8.0,0,3
243,34.0,30,243.0,0,2
90,296.0,24,147.0,1,11
206,98.0,91,206.0,0,3
60,131.0,14,133.0,1,8
269,139.0,117,193.0,1,5
99,77.0,62,99.0,0,4
290,124.0,27,290.0,0,10
271,109.0,60,271.0,0,5
222,204.0,60,222.0,0,10
219,46.0,59,269.0,1,5
143,137.0,70,119.0,1,6
84,197.0,62,84.0,0,8
249,35.0,116,249.0,0,9
110,119.0,70,143.0,1,5
284,169.0,62,284.0,0,7
252,120.0,9,252.0,0,10
63,165.0,60,63.0,0,10
21,225.0,65,247.0,1,10
274,108.0,62,274.0,0,3
266,133.0,14,61.0,1,9
108,139.0,117,108.0,0,5
288,274.0,59,108.0,1,5
180,236.0,70,143.0,1,5
72,88.0,116,72.0,0,4
127,67.0,63,300.0,1,6
67,290.0,60,67.0,0,2
252,171.0,62,252.0,0,0
204,253.0,62,204.0,0,10
21,151.0,62,21.0,0,1
270,307.0,62,270.0,0,11
288,252.0,9,288.0,0,2
188,288.0,60,188.0,0,5
36,167.0,62,36.0,0,8
13,113.0,116,13.0,0,10
85,127.0,62,85.0,0,7
192,211.0,103,192.0,0,8
129,7.0,60,129.0,0,10
132,45.0,60,132.0,0,3
75,64.0,62,,0,3
75,8.0,62,,0,11
217,219.0,38,302.0,1,1
119,3.0,86,119.0,0,3
142,298.0,60,142.0,0,3
129,186.0,116,129.0,0,10
85,196.0,118,214.0,1,0
138,266.0,1,128.0,1,8
273,98.0,62,273.0,0,5
219,321.0,20,37.0,1,5
151,284.0,62,151.0,0,8
181,41.0,59,181.0,0,5
